[pipeline] STAGE 4+5 derive/canonicalize/gates: 6065 rows
[pipeline] derive 25/6065 gold=13 diag=7 rej=4
[pipeline] derive 50/6065 gold=32 diag=9 rej=8
[pipeline] derive 75/6065 gold=33 diag=9 rej=32
[pipeline] derive 100/6065 gold=33 diag=9 rej=57
[pipeline] derive 125/6065 gold=33 diag=9 rej=82
[pipeline] derive 150/6065 gold=33 diag=9 rej=107
[pipeline] derive 175/6065 gold=33 diag=9 rej=132
[pipeline] derive 200/6065 gold=33 diag=9 rej=157
[pipeline] derive 225/6065 gold=33 diag=9 rej=182
[pipeline] derive 250/6065 gold=33 diag=9 rej=207
[pipeline] derive 275/6065 gold=33 diag=9 rej=232
[pipeline] derive 300/6065 gold=33 diag=9 rej=257
[pipeline] derive 325/6065 gold=33 diag=9 rej=282
[pipeline] derive 350/6065 gold=33 diag=10 rej=306
[pipeline] derive 375/6065 gold=33 diag=27 rej=314
[pipeline] derive 400/6065 gold=33 diag=32 rej=334
[pipeline] derive 425/6065 gold=33 diag=52 rej=339
[pipeline] derive 450/6065 gold=33 diag=68 rej=348
[pipeline] derive 475/6065 gold=33 diag=86 rej=355
[pipeline] derive 500/6065 gold=33 diag=109 rej=357
[pipeline] derive 525/6065 gold=33 diag=128 rej=363
[pipeline] derive 550/6065 gold=33 diag=144 rej=372
[pipeline] derive 575/6065 gold=33 diag=158 rej=383
[pipeline] derive 600/6065 gold=33 diag=171 rej=395
[pipeline] derive 625/6065 gold=33 diag=183 rej=408
[pipeline] derive 650/6065 gold=33 diag=198 rej=418
[pipeline] derive 675/6065 gold=33 diag=203 rej=438
[pipeline] derive 700/6065 gold=33 diag=226 rej=440
[pipeline] derive 725/6065 gold=33 diag=243 rej=448
[pipeline] derive 750/6065 gold=33 diag=255 rej=461
[pipeline] derive 775/6065 gold=33 diag=269 rej=472
[pipeline] derive 800/6065 gold=33 diag=289 rej=477
[pipeline] derive 825/6065 gold=33 diag=304 rej=487
